row_id,attack,base_experience,defense,game_index,height,hp,name,special_attack,speed,types,weight
8a73a4fa-a594-45d9-8d2b-4c3f88be877f,90,241,80,169,18,85,crobat,70,130,"poison,flying",750
87fbe466-1139-4546-a1b6-3084aad17b5b,45,50,40,16,3,40,pidgey,35,56,"normal,flying",18
3423967f-aa35-4028-b7e2-6fdb5f18033b,110,165,70,85,18,60,dodrio,60,110,"normal,flying",852
16cfdce8-4a10-4bff-b088-4bddb5d976d0,90,178,40,15,10,65,beedrill,45,75,"bug,poison",295
15823bd5-56c8-450f-8fb3-3c946e5a89c7,75,59,35,377,6,44,shuppet,63,45,ghost,23
4f3b3d17-8047-469b-8d67-bf623be87d65,65,68,95,109,6,40,koffing,60,35,poison,10
733b3c7b-f059-4f8c-97ce-95edeeb137ed,95,88,85,211,5,65,qwilfish,55,85,"water,poison",39
48cffe47-9016-4e0c-a606-0dd209100364,95,137,115,75,10,55,graveler,45,35,"rock,ground",1050
ce07e670-0fdf-4be2-96c1-b2da60942963,70,196,45,40,10,140,wigglytuff,85,45,"normal,fairy",120
95c36313-2cc4-4fff-b213-d60e03edf5eb,35,62,30,92,13,30,gastly,100,80,"ghost,poison",1
f6f1bda7-862f-470d-ae70-c929aff0090e,80,62,65,326,6,43,corphish,50,35,water,115
da76f55c-56ed-4180-840e-2b5fd639d4d3,70,196,45,40,10,140,wigglytuff,85,45,"normal,fairy",120
53bfd759-d24a-48d5-932f-3282ae3215cb,30,61,15,238,4,45,smoochum,85,65,"ice,psychic",60
c721ae1d-dd0c-43cd-b780-b62c1824fe08,60,122,55,17,11,63,pidgeotto,50,71,"normal,flying",300
fa2e4d33-23c4-401a-b0dc-a2e1398693b7,40,59,70,116,4,30,horsea,70,60,water,80
fb57f00a-eb86-4e63-8c71-f33bcb3a6a69,47,151,75,387,6,65,illumise,73,85,bug,177
0061208e-e845-4a40-93ac-cd8b2abe97a2,100,158,80,221,11,100,piloswine,60,50,"ice,ground",558
5649fa99-82c8-493e-a559-163f6c920a37,45,119,50,188,6,55,skiploom,45,80,"grass,flying",10
e2eb63a4-292c-4367-a87d-1f9ed18b8757,110,165,70,85,18,60,dodrio,60,110,"normal,flying",852
3a5fca49-4183-4f45-ad00-2f61b74bd786,104,170,105,374,17,55,huntail,94,52,water,270
f9f53310-737e-4c23-b2f7-7f42d5725521,70,166,80,87,17,90,dewgong,70,70,"water,ice",1200
3af54c46-4431-414f-8c33-f58e947078c9,130,175,100,212,18,70,scizor,55,65,"bug,steel",1180
2ca5ced5-c7a9-4917-82d4-e23fbad7a883,70,216,70,297,15,80,ludicolo,90,70,"water,grass",550
